ARO_Accession,CARD_Name,Model_Type,ARO_Categories,Match_Status,ResFinder_Gene_Name,ResFinder_Class,Match_Tier,Match_Confidence,Alternate_ResFinder_Synonyms,Excluded_Candidates_ClassMismatch,N_Pathogens_With_Hit,Max_NCBI_WGS_Prevalence_Pct,Top_Pathogen_By_WGS_Pct,Has_Perfect_Strict_Hit
ARO:3004511,MCR-3.2,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,1,0.02,Escherichia coli,True
ARO:3004516,MCR-8.1,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,1,0.27,Klebsiella pneumoniae,True
ARO:3004544,mphJ,protein homolog model,antibiotic inactivation; macrolide antibiotic,no_reliable_match,,,,,,,1,90.0,Brevibacillus brevis,True
ARO:3004569,ICR-Mo,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,1,78.57,Moraxella osloensis,True
ARO:3004572,Staphylococcus aureus LmrS,protein homolog model,aminoglycoside antibiotic; antibiotic efflux; diaminopyrimidine antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic,no_reliable_match,,,,,,,1,51.58,Staphylococcus aureus,True
ARO:3004573,Acinetobacter baumannii AbaF,protein homolog model,antibiotic efflux; phosphonic acid antibiotic,no_reliable_match,,,,,,,5,60.37,Acinetobacter baumannii,True
ARO:3004574,Acinetobacter baumannii AbaQ,protein homolog model,antibiotic efflux; fluoroquinolone antibiotic,no_reliable_match,,,,,,,16,91.3,Pseudomonas koreensis,True
ARO:3004577,Acinetobacter baumannii AmvA,protein homolog model,antibiotic efflux; disinfecting agents and antiseptics; macrolide antibiotic,no_reliable_match,,,,,,,6,82.61,Acinetobacter calcoaceticus,True
ARO:3004580,Klebsiella pneumoniae KpnE,protein homolog model,aminoglycoside antibiotic; antibiotic efflux; cephalosporin; disinfecting agents and antiseptics; macrolide antibiotic; peptide antibiotic; rifamycin antibiotic; tetracycline antibiotic,no_reliable_match,,,,,,,38,100.0,Citrobacter youngae,True
ARO:3004583,Klebsiella pneumoniae KpnF,protein homolog model,aminoglycoside antibiotic; antibiotic efflux; cephalosporin; disinfecting agents and antiseptics; macrolide antibiotic; peptide antibiotic; rifamycin antibiotic; tetracycline antibiotic,no_reliable_match,,,,,,,57,100.0,Citrobacter youngae,True
ARO:3004588,Klebsiella pneumoniae KpnG,protein homolog model,aminoglycoside antibiotic; antibiotic efflux; carbapenem; cephalosporin; fluoroquinolone antibiotic; macrolide antibiotic; penam; penem; peptide antibiotic,no_reliable_match,,,,,,,7,94.87,Raoultella planticola,True
ARO:3004595,erm(45),protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,no_reliable_match,,,,,,,2,25.0,Macrococcus canis,True
ARO:3004596,erm(46),protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin antibiotic,no_reliable_match,,,,,,,1,0.0,Rhodococcus pyridinivorans,True
ARO:3004597,Klebsiella pneumoniae KpnH,protein homolog model,aminoglycoside antibiotic; antibiotic efflux; carbapenem; cephalosporin; fluoroquinolone antibiotic; macrolide antibiotic; penam; penem; peptide antibiotic,no_reliable_match,,,,,,,51,100.0,Serratia odorifera,True
ARO:3004599,clcD,protein homolog model,antibiotic target alteration; lincosamide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,no_reliable_match,,,,,,,3,0.1,Enterococcus faecium,True
ARO:3004600,LnuH,protein homolog model,antibiotic inactivation; lincosamide antibiotic,no_reliable_match,,,,,,,5,100.0,Myroides phaeus,True
ARO:3004601,LnuP,protein homolog model,antibiotic inactivation; lincosamide antibiotic,no_reliable_match,,,,,,,2,4.16,Clostridium perfringens,True
ARO:3004603,tet(56),protein homolog model,antibiotic inactivation; tetracycline antibiotic,no_reliable_match,,,,,,,1,100.0,Legionella longbeachae,True
ARO:3004608,EreD,protein homolog model,antibiotic inactivation; macrolide antibiotic,no_reliable_match,,,,,,,10,11.81,Riemerella anatipestifer,True
ARO:3004615,ADC-11,protein homolog model,antibiotic inactivation; cephalosporin,no_reliable_match,,,,,,,1,1.23,Acinetobacter baumannii,True
ARO:3004617,ADC-30,protein homolog model,antibiotic inactivation; cephalosporin,no_reliable_match,,,,,,,2,16.81,Acinetobacter baumannii,True
ARO:3004618,ADC-58,protein homolog model,antibiotic inactivation; cephalosporin,no_reliable_match,,,,,,,1,0.01,Acinetobacter baumannii,True
ARO:3004620,ADC-60,protein homolog model,antibiotic inactivation; cephalosporin,no_reliable_match,,,,,,,1,0.01,Acinetobacter baumannii,True
